record_type,route_id,route_condition,model_seed,sample_index,debug_step,t_s,theta_true_deg,theta_sched_fusion_lpv_mpc_deg,theta_sched_mtcn_lpv_mpc_deg,theta_mtcn_deg,theta_imu_deg,theta_fused_deg,variance_imu_rad2,imu_valid,K_imu_eff,fallback_exact,imu_uncertainty_halfwidth_deg,local_fusion_effect_deg
trace,P2,Sharp-turn transition,7,75,75.0,0.75,0.0,0.0,0.0,0.0,-3.438316095773829,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,76,76.0,0.76,0.0,0.0,0.0,0.0,-3.5183160957738253,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,77,77.0,0.77,0.0,0.0,0.0,0.0,-3.598316095773827,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,78,78.0,0.78,0.0,0.0,0.0,0.0,-3.6783160957738295,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,79,79.0,0.79,0.0,0.0,0.0,0.0,-3.7583160957738255,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,80,80.0,0.8,0.0,0.0,0.0,0.0,-3.8383160957738274,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,81,81.0,0.81,0.0,0.0,0.0,0.0,-3.9183160957738297,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,82,82.0,0.82,0.0,0.0,0.0,0.0,-3.8383160957738274,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,83,83.0,0.83,0.0,0.0,0.0,0.0,-3.7583160957738255,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,84,84.0,0.84,0.0,0.0,0.0,0.0,-3.6783160957738295,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,85,85.0,0.85,0.0,0.0,0.0,0.0,-3.598316095773827,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,86,86.0,0.86,0.0,0.0,0.0,0.0,-3.5943757433658092,0.0,0.0001380837659562,0,0.0,1,1.319623422149596,0.0
trace,P2,Sharp-turn transition,7,87,87.0,0.87,0.0,0.0,0.0,0.0,-3.5143757433658074,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,88,88.0,0.88,0.0,0.0,0.0,0.0,-3.434375743365811,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,89,89.0,0.89,0.0,0.0,0.0,0.0,-3.354375743365809,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,90,90.0,0.9,0.0,0.0,0.0,0.0,-3.2743757433658067,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,91,91.0,0.91,0.0,0.0,0.0,0.0,-3.1943757433658106,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,92,92.0,0.92,0.0,0.0,0.0,0.0,-3.1558620534176467,0.0,0.0002451613600119,0,0.0,1,1.7583475260088572,0.0
trace,P2,Sharp-turn transition,7,93,93.0,0.93,0.0,0.0,0.0,0.0,-3.1576569582870864,0.0,9.72187310138908e-05,0,0.0,1,1.1072703679210238,0.0
trace,P2,Sharp-turn transition,7,94,94.0,0.94,0.0,0.0,0.0,0.0,-3.077656958287084,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,95,95.0,0.95,0.0,0.0,0.0,0.0,-2.997656958287082,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,96,96.0,0.96,0.0,0.0,0.0,0.0,-2.9176569582870857,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,97,97.0,0.97,0.0,0.0,0.0,0.0,-2.8376569582870834,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,98,98.0,0.98,0.0,0.0,0.0,0.0,-2.7576569582870816,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,99,99.0,0.99,0.0,0.0,0.0,0.0,-2.677656958287085,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,100,100.0,1.0,0.0,0.0,0.0,0.0,-2.597656958287083,-7.255148247565234e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,7.255148247565234e-06
trace,P2,Sharp-turn transition,7,101,101.0,1.01,0.0,0.0,0.0,0.0,-2.517656958287081,-7.031711562458058e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,7.031711562458058e-06
trace,P2,Sharp-turn transition,7,102,102.0,1.02,0.0,0.0,0.0,0.0,-2.437656958287085,-6.808274877350882e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,6.808274877350882e-06
trace,P2,Sharp-turn transition,7,103,103.0,1.03,0.0,0.0,0.0,0.0,-2.3576569582870825,-6.584838192243763e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,6.584838192243763e-06
trace,P2,Sharp-turn transition,7,104,104.0,1.04,0.0,0.0,0.0,0.0,-2.2776569582870807,-6.361401507136587e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,6.361401507136587e-06
trace,P2,Sharp-turn transition,7,105,105.0,1.05,0.0,0.0,0.0,0.0,-2.197656958287084,-6.137964822029411e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,6.137964822029411e-06
trace,P2,Sharp-turn transition,7,106,106.0,1.06,0.0,0.0,0.0,0.0,-2.1176569582870823,-5.914528136922235e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,5.914528136922235e-06
trace,P2,Sharp-turn transition,7,107,107.0,1.07,0.0,0.0,0.0,0.0,-2.03765695828708,-5.6910914518151e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,5.6910914518151e-06
trace,P2,Sharp-turn transition,7,108,108.0,1.08,0.0,0.0,0.0,0.0,-1.9576569582870835,-5.467654766707935e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,5.467654766707935e-06
trace,P2,Sharp-turn transition,7,109,109.0,1.09,0.0,0.0,0.0,0.0,-1.8776569582870817,-5.24421808160077e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,5.24421808160077e-06
trace,P2,Sharp-turn transition,7,110,110.0,1.1,0.0,0.0,0.0,0.0,-1.9576569582870835,-5.467654766707935e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,5.467654766707935e-06
trace,P2,Sharp-turn transition,7,111,111.0,1.11,0.0,0.0,0.0,0.0,-1.8776569582870817,-5.24421808160077e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,5.24421808160077e-06
trace,P2,Sharp-turn transition,7,112,112.0,1.12,0.0,0.0,0.0,0.0,-1.7976569582870796,-5.020781396493612e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,5.020781396493612e-06
trace,P2,Sharp-turn transition,7,113,113.0,1.13,0.0,0.0,0.0,0.0,-1.717656958287083,-4.797344711386448e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,4.797344711386448e-06
trace,P2,Sharp-turn transition,7,114,114.0,1.14,0.0,0.0,0.0,0.0,-1.637656958287081,-4.573908026279288e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,4.573908026279288e-06
trace,P2,Sharp-turn transition,7,115,115.0,1.15,0.0,0.0,0.0,0.0,-1.557656958287079,-4.350471341172124e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,4.350471341172124e-06
trace,P2,Sharp-turn transition,7,116,116.0,1.16,0.0,0.0,0.0,0.0,-1.4776569582870824,-4.127034656064965e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,4.127034656064965e-06
trace,P2,Sharp-turn transition,7,117,117.0,1.17,0.0,0.0,0.0,0.0,-1.3976569582870806,-3.9035979709578005e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,3.9035979709578005e-06
trace,P2,Sharp-turn transition,7,118,118.0,1.18,0.0,0.0,0.0,0.0,-1.3176569582870783,-3.6801612858506413e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,3.6801612858506413e-06
trace,P2,Sharp-turn transition,7,119,119.0,1.19,0.0,0.0,0.0,0.0,-1.2376569582870822,-3.456724600743477e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,3.456724600743477e-06
trace,P2,Sharp-turn transition,7,120,120.0,1.2,0.0,0.0,0.0,0.0,-1.15765695828708,-3.233287915636318e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,3.233287915636318e-06
trace,P2,Sharp-turn transition,7,121,121.0,1.21,0.0,0.0,0.0,0.0,-1.0776569582870836,-3.0098512305291534e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,3.0098512305291534e-06
trace,P2,Sharp-turn transition,7,122,122.0,1.22,0.0,0.0,0.0,0.0,-0.9976569582870816,-2.7864145454219946e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,2.7864145454219946e-06
trace,P2,Sharp-turn transition,7,123,123.0,1.23,0.0,0.0,0.0,0.0,-0.9176569582870794,-2.5629778603148303e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,2.5629778603148303e-06
trace,P2,Sharp-turn transition,7,124,124.0,1.24,0.0,0.0,0.0,0.0,-0.8376569582870831,-2.3395411752076715e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,2.3395411752076715e-06
trace,P2,Sharp-turn transition,7,125,125.0,1.25,0.0,0.0,0.0,0.0,-0.757656958287081,-2.116104490100507e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,2.116104490100507e-06
trace,P2,Sharp-turn transition,7,126,126.0,1.26,0.0,0.0,0.0,0.0,-0.677656958287079,-1.8926678049933426e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,1.8926678049933426e-06
trace,P2,Sharp-turn transition,7,127,127.0,1.27,0.0,0.0,0.0,0.0,-0.5976569582870825,-1.6692311198861838e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,1.6692311198861838e-06
trace,P2,Sharp-turn transition,7,128,128.0,1.28,0.0,0.0,0.0,0.0,-0.5176569582870805,-1.445794434779019e-06,0.0012184696791468,1,2.79295856383952e-06,0,3.9199999999999444,1.445794434779019e-06
