t_s,e_y,e_psi,e_v,e_omega,xy_error,X,Y,X_ref,Y_ref,F_cmd,omega_cmd,F_limit_lo,F_limit_hi,omega_limit_lo,omega_limit_hi,theta_true,theta_ref,theta_imu_raw,theta_sched,solve_time_ms
24.47,-0.0191762831730964,0.0327770280838158,-0.00704642794512089,0.0482222605341624,0.474340979451342,19.9753282074553,4.18526159586217,20.4165576476126,4.35937634516641,-170.778799999747,-0.0481864956472088,-668.998649063463,651.001350936537,-1.33799729812693,1.30200270187307,-0.101229096615671,-0.101229096615671,-0.106762216964369,-0.105396087178406,0.026002
24.48,-0.0188548252669519,0.0321984442856694,-0.00714050811236977,0.0458359822900725,0.474403898014828,19.9838371297976,4.18856887150651,20.4252507493367,4.36238795830952,-170.669861711803,-0.0480627789651259,-668.998649063463,651.001350936537,-1.33799729812693,1.30200270187307,-0.101229096615671,-0.101229096615671,-0.106717945414673,-0.105430721192842,0.025889
24.49,-0.0185380993330598,0.0315650593946952,-0.00722956417914911,0.038259976611329,0.474467998255203,19.9923469011987,4.19187143183036,20.4339438510608,4.36539957145262,-170.485945858303,-0.0468668230277068,-668.998649063463,651.001350936537,-1.33799729812693,1.30200270187307,-0.101229096615671,-0.101229096615671,-0.106637276102816,-0.105465355207279,0.0262363
24.5,-0.0205012781649261,0.035970662888664,-0.00731014007051967,0.0423546765362432,0.474533203684435,20.0008574693769,4.19516959190294,20.4426369527849,4.36841118459573,-170.773783214632,-0.047733002437007,-669.920309949648,650.079690050352,-1.3398406198993,1.3001593801007,-0.101229096615671,-0.101229096615671,-0.106885349799165,-0.105499989221715,0.0258763
24.51,-0.0201480704205908,0.035410240100514,-0.0074039821852192,0.0484763355339985,0.474597602524708,20.0093688892226,4.19846313767286,20.4513449956379,4.37137931875553,-170.798571421075,-0.0515239422362804,-669.920309949648,650.079690050352,-1.3398406198993,1.3001593801007,-0.101229096615671,-0.101229096615671,-0.106875805256557,-0.105516208788783,0.0252084
24.52,-0.0197996312792904,0.0348192418768255,-0.00749896453194054,0.0441279772762051,0.47466325640247,20.0178811363859,4.20175192583686,20.4600530384909,4.37434745291534,-170.66656223895,-0.0515034110748268,-669.920309949648,650.079690050352,-1.3398406198993,1.3001593801007,-0.101229096615671,-0.101229096615671,-0.106328039259472,-0.10553242835585,0.0258796
24.53,-0.0194559534694203,0.0342064523594072,-0.00758785926799888,0.0434160307062146,0.474730131819669,20.026394229349,4.20503597042354,20.4687610813439,4.37731558707515,-170.570482116434,-0.0517465113727206,-669.920309949648,650.079690050352,-1.3398406198993,1.3001593801007,-0.101229096615671,-0.101229096615671,-0.106986030036395,-0.105548647922918,0.0259822
24.54,-0.0191166623685455,0.0335459173198134,-0.00767232275497509,0.0369609807456565,0.474798166498333,20.0349080808338,4.20831563754625,20.4774691241969,4.38028372123495,-170.404209524635,-0.0508120556904935,-669.920309949648,650.079690050352,-1.3398406198993,1.3001593801007,-0.101229096615671,-0.101229096615671,-0.10700978569249,-0.105564867489986,0.0258858
24.55,-0.0210616662328161,0.0378857854513446,-0.00774911947882551,0.040281955984841,0.474867291100072,20.0434226220732,4.21159126859846,20.4861771670499,4.38325185539476,-170.517388643938,-0.0512093774184387,-670.808654755748,649.191345244252,-1.3416173095115,1.2983826904885,-0.101229096615671,-0.101229096615671,-0.106229869739766,-0.105581087057054,0.0253072
24.56,-0.0206851483007977,0.0372644485468664,-0.00783113138792157,0.0371951035211898,0.474935505673894,20.0519379585823,4.21486261818189,20.4948999416615,4.38617641242012,-170.411474297065,-0.0536464024140536,-670.808654755748,649.191345244252,-1.3416173095115,1.2983826904885,-0.101229096615671,-0.101229096615671,-0.106593702085305,-0.105592653967412,0.0267182
24.57,-0.0203127168951991,0.0365970023076914,-0.00790825890229652,0.0384396581556297,0.475004856524721,20.0604540064411,4.2181298948513,20.5036227162731,4.38910096944548,-170.36174905138,-0.0545020452283119,-670.808654755748,649.191345244252,-1.3416173095115,1.2983826904885,-0.101229096615671,-0.101229096615671,-0.106227048919051,-0.105604220877771,0.0263158
24.58,-0.0199441894833916,0.0358900164776151,-0.00798309226980631,0.0334399264373536,0.475075299071813,20.0689707325972,4.22139328009978,20.5123454908848,4.39202552647084,-170.228325829151,-0.054023632586543,-670.808654755748,649.191345244252,-1.3416173095115,1.2983826904885,-0.101229096615671,-0.101229096615671,-0.106397273310806,-0.10561578778813,0.025794
24.59,-0.0195796427278138,0.0351580221650586,-0.0080517733644222,0.0310165713039826,0.475146783133437,20.0774882029456,4.22465271525618,20.5210682654964,4.3949500834962,-170.122751260418,-0.0536999009492342,-670.808654755748,649.191345244252,-1.3416173095115,1.2983826904885,-0.101229096615671,-0.101229096615671,-0.106320938148341,-0.105627354698488,0.0255497
24.6,-0.0215015841023121,0.0395549943422781,-0.00811558607064489,0.0372190743060285,0.475219245978644,20.0860066773037,4.22790766996902,20.5297910401081,4.39787464052156,-170.256549185384,-0.0541762337264594,-671.700390639353,648.299609360647,-1.34340078127871,1.29659921872129,-0.101229096615671,-0.101229096615671,-0.10610159802319,-0.105638921608847,0.0254064
24.61,-0.0211009657841656,0.0389402433826875,-0.00818556475236742,0.0310965690661721,0.475290665754411,20.0945262719661,4.23115781492208,20.5385283284095,4.4007555472987,-170.109138274807,-0.056428468539118,-671.700390639353,648.299609360647,-1.34340078127871,1.29659921872129,-0.101229096615671,-0.101229096615671,-0.105578899090565,-0.105647522438959,0.0267323
24.62,-0.0207050594815021,0.0383354858542161,-0.00824874650286056,0.0368751476419193,0.475363126141454,20.1030469141257,4.23440334275131,20.5472656167109,4.40363645407584,-170.138492392618,-0.0581499797794799,-671.700390639353,648.299609360647,-1.34340078127871,1.29659921872129,-0.101229096615671,-0.101229096615671,-0.105326705446703,-0.105656123269071,0.0267176
24.63,-0.020313947445235,0.0377186372586018,-0.00831327974951646,0.0309784095029106,0.47543658977059,20.1115686566197,4.23764418433159,20.5560029050122,4.40651736085298,-170.007558126244,-0.05769542623407,-671.700390639353,648.299609360647,-1.34340078127871,1.29659921872129,-0.101229096615671,-0.101229096615671,-0.105910734439268,-0.105664724099183,0.0263079
24.64,-0.0199274326037623,0.037098546244224,-0.00837177572127845,0.033607586122576,0.475511023221915,20.1200914493202,4.24088053066866,20.5647401933136,4.40939826763011,-169.986440431568,-0.0583761405866675,-671.700390639353,648.299609360647,-1.34340078127871,1.29659921872129,-0.101229096615671,-0.101229096615671,-0.105803821338759,-0.105673324929296,0.0255102
24.65,-0.0218291563672169,0.0413813063664297,-0.00842929673521831,0.0330134805122182,0.47558638183357,20.1286153065086,4.24411243647998,20.573477481615,4.41227917440725,-170.010191330928,-0.0572387108460156,-672.633231217906,647.366768782094,-1.34526646243581,1.29473353756419,-0.101229096615671,-0.101229096615671,-0.106025958963897,-0.105681925759408,0.0257406
24.66,-0.0214062192762124,0.0406206414147269,-0.00848791110247848,0.0262192867468875,0.47566060913595,20.1371402294824,4.24733989028363,20.5822290651744,4.41511635891365,-169.835141685102,-0.0597486312331988,-672.633231217906,647.366768782094,-1.34526646243581,1.29473353756419,-0.101229096615671,-0.101229096615671,-0.105931860285071,-0.105682310212906,0.0255866
24.67,-0.0209881525411387,0.0399028677425642,-0.00853845478208781,0.0314650656964928,0.475735788627219,20.1456663580865,4.25056261437642,20.5909806487338,4.41795354342005,-169.873837502915,-0.061403437781231,-672.633231217906,647.366768782094,-1.34526646243581,1.29473353756419,-0.101229096615671,-0.101229096615671,-0.105799907339769,-0.105682694666405,0.0255591
24.68,-0.0205753892198524,0.0391824289216152,-0.00859078090345766,0.0330845425199612,0.475811876829261,20.1541938728365,4.25378021213632,20.5997322322931,4.42079072792645,-169.873116346318,-0.0621595487494994,-672.633231217906,647.366768782094,-1.34526646243581,1.29473353756419,-0.101229096615671,-0.101229096615671,-0.105792471407864,-0.105683079119903,0.0257049
24.69,-0.0201680297658564,0.0384236907391036,-0.00864307243551987,0.0281896497770961,0.475888870609156,20.1627227979443,4.25699258579694,20.6084838158525,4.42362791243285,-169.75159424195,-0.061588207755343,-672.633231217906,647.366768782094,-1.34526646243581,1.29473353756419,-0.101229096615671,-0.101229096615671,-0.106135626990254,-0.105683463573401,0.0258527
24.7,-0.0220516954350686,0.0426449143942048,-0.0086897608761547,0.0263564259802968,0.475966729968056,20.171253184416,4.2601996707561,20.6172353994119,4.42646509693925,-169.672522938121,-0.0592679652369349,-673.684324661018,646.315675338982,-1.34736864932204,1.29263135067796,-0.101229096615671,-0.101229096615671,-0.105699226166833,-0.1056838480269,0.025585
24.71,-0.0216100676584081,0.0418646994852527,-0.00873280320369607,0.0273199580478993,0.47604333064673,20.1797851735989,4.26340121262524,20.6260010594401,4.42925848824544,-169.615829419586,-0.0637697073831384,-673.684324661018,646.315675338982,-1.34736864932204,1.29263135067796,-0.101229096615671,-0.101229096615671,-0.105654426579835,-0.10566105558373,0.0257736
24.72,-0.0211744714099662,0.0411385182544581,-0.00877323104999717,0.0219864481518604,0.476120778373959,20.1883188845086,4.26659697252512,20.6347667194684,4.43205187955164,-169.505783066395,-0.0638745614421133,-673.684324661018,646.315675338982,-1.34736864932204,1.29263135067796,-0.101229096615671,-0.101229096615671,-0.105598586193877,-0.105638263140559,0.0259784
24.73,-0.0207450338955303,0.0404503233190737,-0.0088085851024523,0.0290524508138954,0.476199020611288,20.1968543945912,4.26978684171241,20.6435323794966,4.43484527085783,-169.599710734803,-0.0656220641497577,-673.684324661018,646.315675338982,-1.34736864932204,1.29263135067796,-0.101229096615671,-0.101229096615671,-0.105548871332413,-0.105615470697389,0.0253611
24.74,-0.0203218013650957,0.0397271480582007,-0.00884826798385041,0.0262743043663354,0.476278039889787,20.2053917196208,4.27297077667602,20.6522980395249,4.43763866216402,-169.537194147948,-0.065525773670381,-673.684324661018,646.315675338982,-1.34736864932204,1.29263135067796,-0.101229096615671,-0.101229096615671,-0.105768807873245,-0.105592678254219,0.0260837
24.75,-0.0221921339972246,0.0439943597624556,-0.00888506804739242,0.0202787313879808,0.476357830523545,20.2139308100945,4.27614887762582,20.6610636995531,4.44043205347022,-169.180252680797,-0.0617167585695392,-674.821219763528,645.178780236472,-1.34964243952706,1.29035756047294,-0.101229096615671,-0.101229096615671,-0.104658188084244,-0.105569885811049,0.0260117
24.76,-0.0217356276024794,0.0432939124740596,-0.00890541340538176,0.0267606161532838,0.476436206610353,20.2224717685162,4.27932113461629,20.6698432169091,4.44318158174157,-169.20853386471,-0.0679458899734094,-674.821219763528,645.178780236472,-1.34964243952706,1.29035756047294,-0.101229096615671,-0.101229096615671,-0.103890521765143,-0.105558325511635,0.0271372
24.77,-0.0212853612592455,0.0425840280504191,-0.00892706190412151,0.0222186377908635,0.476515241888179,20.231014699772,4.28248747077031,20.6786227342652,4.44593111001292,-169.145656904447,-0.0684410409723818,-674.821219763528,645.178780236472,-1.34964243952706,1.29035756047294,-0.101229096615671,-0.101229096615671,-0.104628567756452,-0.105546765212221,0.0261505
24.78,-0.0208412391657628,0.0418801133096467,-0.00894581143703588,0.0258789641093984,0.476594914332498,20.2395595741368,4.2856479771665,20.6874022516212,4.44868063828427,-169.206439865995,-0.0698191775544296,-674.821219763528,645.178780236472,-1.34964243952706,1.29035756047294,-0.101229096615671,-0.101229096615671,-0.105153513419567,-0.105535204912808,0.0262287
24.79,-0.0204033003463359,0.0410670011284081,-0.00896736237056373,0.0221603357520988,0.476675209127831,20.2481064016412,4.28880261604926,20.6961817689773,4.45143016655563,-169.137390602622,-0.0696415712236352,-674.821219763528,645.178780236472,-1.34964243952706,1.29035756047294,-0.101229096615671,-0.101229096615671,-0.105764980292716,-0.105523644613394,0.0258688
24.8,-0.022261032248619,0.0452760490713163,-0.00898572981911483,0.021132211592383,0.476756110212776,20.2566551933838,4.29195135066495,20.7049612863333,4.45417969482698,-168.992943311352,-0.0667547996222105,-675.803343847834,644.196656152166,-1.35160668769567,1.28839331230433,-0.101229096615671,-0.101229096615671,-0.105049672337429,-0.10551208431398,0.0255421
24.81,-0.0217902844334793,0.0444827091786663,-0.00899743827800381,0.0188612366270452,0.476835473618022,20.2652060761989,4.29509396628111,20.7137544415297,4.45688529132543,-168.885720428321,-0.07119341956193,-675.803343847834,644.196656152166,-1.35160668769567,1.28839331230433,-0.101229096615671,-0.101229096615671,-0.105092723771412,-0.105464054791522,0.0256051
24.82,-0.0213261405278723,0.043667914298853,-0.00900420383413392,0.0167279105951859,0.476915395547137,20.273759149498,4.29823034697052,20.7225475967261,4.45959088782387,-168.856583571303,-0.0719313469664734,-675.803343847834,644.196656152166,-1.35160668769567,1.28839331230433,-0.101229096615671,-0.101229096615671,-0.10494751285926,-0.105416025269063,0.0262006
24.83,-0.0208687454620368,0.0428564099605884,-0.00900962610858003,0.0119609460385683,0.47699582791651,20.2823144886174,4.30136036434926,20.7313407519225,4.46229648432232,-168.7755349374,-0.0718027810798753,-675.803343847834,644.196656152166,-1.35160668769567,1.28839331230433,-0.101229096615671,-0.101229096615671,-0.10549482061645,-0.105367995746604,0.0260103
24.84,-0.0204182406517538,0.042072995087893,-0.00901131218371465,0.0189345788669668,0.477076728728706,20.2908721616102,4.30448389145584,20.7401339071189,4.46500208082076,-168.911858290675,-0.0732849134335333,-675.803343847834,644.196656152166,-1.35160668769567,1.28839331230433,-0.101229096615671,-0.101229096615671,-0.10443517709754,-0.105319966224146,0.0256511
24.85,-0.022266196071792,0.0462866520186671,-0.00901928224744653,0.0146891827750298,0.477158094431118,20.2994321889638,4.30760081952761,20.7489270623153,4.46770767731921,-168.394422400984,-0.068746117233993,-676.891110661129,643.108889338871,-1.35378222132226,1.28621777867774,-0.101229096615671,-0.101229096615671,-0.103350755803346,-0.105271936701687,0.026083
24.86,-0.0217841424431751,0.0455303979903069,-0.00900340011316347,0.0214086254764393,0.477237745013842,20.3079946297836,4.31071122737356,20.7577336355236,4.47036927440498,-168.441987719628,-0.0755224963724935,-676.891110661129,643.108889338871,-1.35378222132226,1.28621777867774,-0.101229096615671,-0.101229096615671,-0.102377951563103,-0.105238391142087,0.0262644
24.87,-0.0213090603081856,0.0447500690852414,-0.00898971098297396,0.0160266663973628,0.477317725537075,20.3165595933102,4.3138151158111,20.7665402087319,4.47303087149075,-168.394251359868,-0.0759809563721568,-676.891110661129,643.108889338871,-1.35378222132226,1.28621777867774,-0.101229096615671,-0.101229096615671,-0.102090953546308,-0.105204845582487,0.0259369
24.88,-0.0208408638103729,0.0439859368338422,-0.00897382172490468,0.019351909248955,0.477398019882246,20.3251270452184,4.31691256413751,20.7753467819402,4.47569246857652,-168.490771521124,-0.0773677621925594,-676.891110661129,643.108889338871,-1.35378222132226,1.28621777867774,-0.101229096615671,-0.101229096615671,-0.102241292976288,-0.105171300022887,0.0260881
24.89,-0.0203796318893254,0.0431502464420412,-0.00896238211892697,0.0224884897991466,0.477478622368977,20.3336969965321,4.32000349319255,20.7841533551485,4.47835406566229,-168.589389795679,-0.0783704912028974,-676.891110661129,643.108889338871,-1.35378222132226,1.28621777867774,-0.101229096615671,-0.101229096615671,-0.103013369801935,-0.105137754463287,0.0259714
