sample_index,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,rkf_locally_better,evaluation_sample,rkf_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
2531,25.31,4.192338634259253,5.23994397666145,3.446769052881894,1.0476053424021972,0.7455695813773584,-0.30203576102483876,1,1,1,0,0
2532,25.32,4.173928194444442,5.235763439721979,3.434569252444252,1.0618352452775373,0.73935894200019,-0.3224763032773472,1,1,1,0,0
2533,25.33,4.155517754629625,5.23158290278251,3.42236945200661,1.0760651481528845,0.733148302623015,-0.34291684552986945,1,1,1,0,0
2534,25.34,4.1371073148148145,5.227402365843039,3.410169651568968,1.0902950510282245,0.7269376632458466,-0.3633573877823779,1,1,1,0,0
2535,25.35,4.118696874999999,5.2232218289035695,3.39796985113132,1.1045249539035709,0.7207270238686787,-0.38379793003489215,1,1,1,0,0
2536,25.36,4.0997960185185205,5.21841807890303,3.385182397753903,1.1186220603845092,0.7146136207646174,-0.40400843961989175,1,1,1,0,0
2537,25.37,4.080895162037037,5.213614328902484,3.37239494437648,1.1327191668654466,0.708500217660557,-0.42421894920488956,1,1,1,0,0
2538,25.38,4.061994305555559,5.2088105789019385,3.3596074909990628,1.1468162733463796,0.7023868145564962,-0.4444294587898834,1,1,1,0,0
2539,25.39,4.0430934490740755,5.2040068289013925,3.3468200376216335,1.160913379827317,0.696273411452442,-0.464639968374875,1,1,1,0,0
2540,25.4,4.024192592592586,5.1992030789008465,3.334032584244211,1.1750104863082607,0.690160008348375,-0.4848504779598857,1,1,1,0,0
2541,25.41,4.004816180555553,5.193766345885871,3.320719124333195,1.1889501653303185,0.6840970562223578,-0.5048531091079607,1,1,1,0,0
2542,25.42,3.9854397685185132,5.188329612870896,3.307405664422167,1.2028898443523826,0.678034104096346,-0.5248557402560365,1,1,1,0,0
2543,25.43,3.966063356481479,5.18289287985592,3.294092204511151,1.2168295233744413,0.671971151970328,-0.5448583714041133,1,1,1,0,0
2544,25.44,3.9466869444444397,5.17745614684094,3.2807787446001297,1.2307692023965,0.6659081998443099,-0.5648610025521901,1,1,1,0,0
2545,25.45,3.927310532407406,5.172019413825964,3.2674652846891084,1.2447088814185583,0.6598452477182977,-0.5848636337002606,1,1,1,0,0
2546,25.46,3.907473425925922,5.165813042435756,3.2535631809186794,1.2583396165098342,0.6539102450072427,-0.6044293715025915,1,1,1,0,0
