step,fx,fy,fz,gx,gy,gz,theta_tcn,theta_fuzzyakf,accel_weight,accel_norm,fuzzy_innovation,fuzzy_nis,min_covariance_eigenvalue,gyro_energy,gyro_vibration_feature,P_tcn_base,P_tcn,P_fuzzyakf_total,cross_error_total,S,NIS,innovation,K_raw,K_eff,Kmax,NIS_weight,quality_weight,correction_prev,correction,target_correction,theta_fused,theta_tcn_abs,fallback,fallback_reason_code,innovation_gate_flag,innovation_min_gate,slope_gate,nis_downweight_flag,nis_reject_flag,Kmax_cap_flag,rate_limit_flag,observer_valid,tcn_ready,regime_index,quality_score,quality_bin,p_help,v7_gate,label_main,label_turn,conf_main
1872,0.112830785154964,0.0430899095778377,9.78915669622152,0.00069050365250184,4.53507342184176e-05,0.0614231783157208,0,0.00102773379183846,0.165947704152561,9.78990175382597,0.0105130776905749,0.0384792773050649,1.57432272976789e-08,0.00366309372251412,0.172924277931337,0.00284980193900787,0.00284985527549759,0.000178637123814681,-0.000232249777687377,0.00349299195468703,0.000302387397563102,0.00102773379183846,0.882368208449288,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.291012554259345,1,0.446352357443121,0,1,-1,0.999981284141541
1873,0.0770833950727569,0.0963078827949,9.76976727626476,-0.00149279659183992,0.000268531560337113,0.0612444112402545,0,0.00103148929579369,0.191314125868713,9.77054602826568,0.00686981131405759,0.018938086408719,1.57180180631684e-08,0.00366759795933986,0.173030561399669,0.00284980193900787,0.00284983727018577,0.000178637123814681,-0.000232249044012178,0.00349297248202481,0.000304603077411077,0.00103148929579369,0.882367762717479,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.316594521827819,1,0.520955340279056,0,1,-1,0.999987602233887
1874,0.0612020999593691,0.081648991498444,9.78195978365954,-0.00294016017003375,0.00106456737041597,0.0658664285772848,0,0.00104175239194723,0.219455605236499,9.78249198640023,0.00522480368622908,0.0125625900797413,1.56928680621243e-08,0.00370162627432477,0.173831404934283,0.00284980193900787,0.00284988686972399,0.000178637123814681,-0.000232251065074105,0.00349302612368688,0.000310689931222813,0.00104175239194723,0.882368990571678,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.291442719319283,1,0.532102691869423,0,1,-1,0.999970197677612
1875,0.0511733472551759,0.0459678727982092,9.79703091476921,0.000469731002364446,0.00126045282144104,0.0603692401642165,0,0.00105305744180759,0.249024862418403,9.79727240111974,0.00417932960944892,0.00911877336589091,1.56677770980713e-08,0.00369885768793526,0.173766385230879,0.00284980193900787,0.00284985187826895,0.000178637123814681,-0.000232249639258271,0.00349298828060017,0.000317473145245081,0.00105305744180759,0.882368124349288,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.291411886586357,1,0.532102691869423,0,1,-1,0.999982476234436
1876,0.0779229160680204,0.067854078039279,9.81503105009092,0.00155208422446234,-0.0012442812005113,0.0606645742808302,0,0.00104299613846705,0.211543883598605,9.81557490272496,0.00690873268244157,0.0211748321500515,1.56427452700487e-08,0.0036981221922295,0.173749108169304,0.00284980193900787,0.00284984712214885,0.000178637123814681,-0.000232249445457385,0.0034929831368783,0.00031143607118281,0.00104299613846705,0.882368006609022,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.291403693700241,1,0.532102691869423,0,1,-1,0.99998414516449
1877,0.107623455825321,0.0796400080971519,9.77113750583692,0.000913192080328253,-0.00246041888277989,0.0603301355309603,0,0.00102222923679691,0.16251658584446,9.77205472237577,0.0100059484319272,0.0341367947502913,1.56177724812277e-08,0.00369554672431994,0.173688595946295,0.00284980193900787,0.00284984236602874,0.000178637123814681,-0.000232249251656337,0.0034929779931561,0.000299158086483739,0.00102222923679691,0.882367888868444,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.307113908133661,1,0.436583561271328,0,1,-1,0.999985814094543
1878,0.070785127692702,0.0940795832318104,9.78699331896155,-0.000114073920624346,-0.00155179106906384,0.0632093463356987,0,0.00100774799976436,0.209066001865638,9.78770145272533,0.00623608220747711,0.0170505628114716,1.55928581838752e-08,0.00371066151473233,0.174043426781876,0.00284980193900787,0.00284988551083253,0.000178637123814681,-0.00023225100970278,0.00349302465405278,0.000290738294632639,0.00100774799976436,0.882368956932288,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.291543261349762,1,0.532102691869423,0,1,-1,0.999970674514771
1879,0.0729724547878233,0.068908887207344,9.78794845577191,-0.000645925235211108,0.000134138516822162,0.0634752079617176,0,0.00101039907089203,0.20656113794138,9.78846302474202,0.00645644736029213,0.0180583017536796,1.55680023893117e-08,0.00372660530091244,0.17441693657025,0.00284980193900787,0.00284983930852296,0.000178637123814681,-0.000232249127069864,0.00349297468647737,0.000292274171471039,0.00101039907089203,0.882367813177908,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.29172038192933,1,0.532102691869423,0,1,-1,0.999986886978149
1880,0.0564434424614504,0.130820176983057,9.79621018685033,0.00241599391889454,0.000829729682628259,0.066894012420128,0,0.00101824601962298,0.237953194899836,9.79724623584877,0.00475333011011707,0.0112722182128431,1.55432047857895e-08,0.00376434175464815,0.175297805023644,0.00284980193900787,0.00284989604224133,0.000178637123814681,-0.000232251438830206,0.00349303604371643,0.000296826297668236,0.00101824601962298,0.882369217636895,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.29213809502774,1,0.532102691869423,0,1,-1,0.999966979026794
1881,0.0694639758785728,0.116850478923275,9.75740637948346,0.0028554502258505,-0.00107685444360239,0.0669699275705283,0,0.00100740977821554,0.191700258884501,9.75835326952012,0.00612182280027514,0.0150689036380876,1.55184655135922e-08,0.00380083888743008,0.176145554085021,0.00284980193900787,0.00284989774085566,0.000178637123814681,-0.000232251508044233,0.0034930378807588,0.000290542071368498,0.00100740977821554,0.882369259685883,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.380270039804244,1,0.520955340279056,0,1,-1,0.999966382980347
1882,0.0446089633073014,0.121022554468427,9.74015296759218,0.000700164421214739,0.00427670729677866,0.0637307892203192,0,0.00104643619145716,0.21240418377456,9.74100694232337,0.00354000357181079,0.00558199163183838,1.54937841516177e-08,0.00381481664056677,0.176469148383385,0.00284980193900787,0.00284989128612123,0.000178637123814681,-0.000232251245030822,0.00349303089999756,0.000313489555100164,0.00104643619145716,0.88236909989952,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.435601195000328,1,0.532102691869423,0,1,-1,0.999968647956848
1883,0.0492490138901755,0.0887605591775445,9.77188481187137,9.56750329697388e-05,-0.000773360647161468,0.0602474282333114,0,0.00103642191787486,0.228954011465056,9.77241201949227,0.00401142584405315,0.00772505654575847,1.54691605370874e-08,0.00380559380099496,0.176255700176921,0.00284980193900787,0.00284989264501269,0.000178637123814681,-0.000232251300402091,0.00349303236963155,0.000307518018209693,0.00103642191787486,0.882369133538802,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.304934013005268,1,0.532102691869423,0,1,-1,0.99996817111969
1884,0.0611482045324312,0.0505434668586498,9.827238520299,0.0032637435853044,0.00128339115531968,0.0629323545719849,0,0.00104921278113802,0.226466234514339,9.82755873448783,0.00518327732387419,0.0127578568809299,1.54445945718733e-08,0.00381395312929632,0.176449174720546,0.00284980193900787,0.00284990521475868,0.000178637123814681,-0.000232251812585705,0.00349304596374477,0.000315154015014219,0.00104921278113802,0.882369444700955,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.292684081436557,1,0.532102691869423,0,1,-1,0.999963760375977
1885,0.0275093266337956,0.0738502113541804,9.8062525552821,0.00186748519548168,0.000429074542258831,0.0580081117402326,0,0.00104807465885039,0.315866846172009,9.8065692163338,0.00176205937787655,0.00205480961067547,1.54200857070814e-08,0.00379168610451078,0.175933338593512,0.00284980193900787,0.00284985765355764,0.000178637123814681,-0.000232249874587702,0.00349299452654773,0.000314475296819319,0.00104807465885039,0.882368267319194,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.292439468854434,1,0.532102691869423,0,1,-1,0.999980449676514
