path_id,model_seed,sensor_seed,case_status,safety_status,theta_sched_mae_deg,ey_rmse,epsi_rmse,xy_rmse,j_du,omega_cmd_rms,active_fraction,active_improve_fraction,active_degrade_fraction,fallback_fraction,safety_failure_count,case_metrics_path
p03_long_updown,73,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.827013495113586,0.03516860824756913,0.02752343262780245,0.38771706594002514,1.7456677338311506,0.058889311566426676,0.4156818181818182,0.9868780754510662,0.013121924548933843,0.5843181818181818,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed73\p03_long_updown\attempts\20260801_232914_232\case_metrics.json
p04_soft_updown_straight_turn,73,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.016472772012780336,0.0035336763535587902,0.008527893261140883,0.2768248494081002,0.30260161159144017,0.034230590560805754,0,,,1,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed73\p04_soft_updown_straight_turn\attempts\20260801_233056_309\case_metrics.json
p05_factory_flat_logistics,73,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.04039202148895378,0.007101423994529064,0.005883152691183132,0.13452026012756818,0.04866404922278262,0.04222108411244376,0.005736842105263158,1,0,0.9942631578947368,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed73\p05_factory_flat_logistics\attempts\20260801_233304_472\case_metrics.json
p06_downhill_after_turn,73,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.49839472725787864,0.009226398794932271,0.009824987276501003,0.1342617721857074,0.508687250853838,0.06855586572397561,0.713421052631579,0.9583179638509775,0.0416820361490225,0.28657894736842104,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed73\p06_downhill_after_turn\attempts\20260801_234119_569\case_metrics.json
p01_factory_logistics_showcase,101,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.5479986797524765,0.021406180570427796,0.03857618421992679,1.0984140250114043,0.30089533019360276,0.05041297398755032,0.23362623057521764,0.9566428695803587,0.0433571304196413,0.7663737694247824,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed101\p01_factory_logistics_showcase\attempts\20260801_234303_971\case_metrics.json
p02_sharp_turn_transition,101,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.5973149541548523,0.04435567865650276,0.03229781403947087,0.3526205746154564,0.7434982324608176,0.08850296394485176,0.4282692307692308,0.979344409519533,0.020655590480466997,0.5717307692307693,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed101\p02_sharp_turn_transition\attempts\20260801_235529_034\case_metrics.json
p03_long_updown,101,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,1.0525286035595385,0.020005638748574268,0.02234536538333092,0.37833288489729233,1.9175360913360862,0.059382123718316256,0.46204545454545454,1,0,0.5379545454545455,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed101\p03_long_updown\attempts\20260801_235827_545\case_metrics.json
p04_soft_updown_straight_turn,101,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.20732821495807469,0.003925490764011333,0.007798195828831501,0.2557167387359155,0.3597668554208092,0.034513949201653266,0.037321428571428575,1,0,0.9626785714285714,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed101\p04_soft_updown_straight_turn\attempts\20260802_000040_550\case_metrics.json
p05_factory_flat_logistics,101,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.37483405769784883,0.0858240496562285,0.06262319866949964,1.1060843540249172,4.763857507759233,0.11826725894239495,0.05357894736842105,1,0,0.9464210526315789,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed101\p05_factory_flat_logistics\attempts\20260802_000347_497\case_metrics.json
p06_downhill_after_turn,101,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.5211520580943582,0.01834924471265699,0.016249466474873055,0.18597205761549732,0.5447007159865116,0.06998364544290843,0.5910526315789474,1,0,0.4089473684210526,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed101\p06_downhill_after_turn\attempts\20260802_001335_963\case_metrics.json
