t_s,e_y,e_psi,e_v,e_omega,xy_error,X,Y,X_ref,Y_ref,F_cmd,omega_cmd,F_limit_lo,F_limit_hi,omega_limit_lo,omega_limit_hi,theta_true,theta_ref,theta_imu_raw,theta_sched,solve_time_ms
57.79,0.00651524828502317,-0.0130337891132013,0.000953917638770174,0.0027574187269299,0.255982938716191,39.9349974913603,-24.0083137946196,40.1784631032251,-24.0873818713199,29.7431503897653,0.0581697065506407,-643.880717912487,676.119282087513,-1.48092565119872,1.55507434880128,0,0,0,0,0.0253565
57.8,0.00704450439700245,-0.0152857450448967,0.000957396818740519,-0.00158772692528652,0.25597095759134,39.9434091909319,-24.0109313498707,40.1869022228937,-24.0898761059742,29.6996880701165,0.0593709838838069,-643.891340153054,676.108659846946,-1.48095008235202,1.55504991764798,0,0,0,0,0.0258736
57.81,0.00691113438156409,-0.0147207654497585,0.000958872449705606,-0.00469927918444556,0.255958415635139,39.9518223325704,-24.0135443499551,40.1953481697887,-24.0923471236474,29.636918576912,0.059905019087407,-643.891340153054,676.108659846946,-1.48095008235202,1.55504991764798,0,0,0,0,0.0257291
57.82,0.00678245940633658,-0.0141389908218384,0.000957454587641182,-0.00115467603955376,0.255946009869306,39.9602368660278,-24.0161528654928,40.2037941166836,-24.0948181413205,29.6370223360257,0.0592515365240135,-643.891340153054,676.108659846946,-1.48095008235202,1.55504991764798,0,0,0,0,0.0263672
57.83,0.0066585205030438,-0.0135832054871509,0.000956041543779262,-0.00529581453683516,0.255933749992823,39.9686527871813,-24.0187568525024,40.2122400635784,-24.0972891589936,29.609780003678,0.0596921535513931,-643.891340153054,676.108659846946,-1.48095008235202,1.55504991764798,0,0,0,0,0.0261111
57.84,0.00653945380898111,-0.0130079832247519,0.000953372757856896,-0.00236640091551629,0.255921638895654,39.977070127755,-24.0213561784115,40.2206860104734,-24.0997601766668,29.6212505778651,0.0589657365569539,-643.891340153054,676.108659846946,-1.48095008235202,1.55504991764798,0,0,0,0,0.025508
57.85,0.0070682287211366,-0.0151805036020412,0.000951232792073542,-0.00204488835784523,0.255909674961969,39.9854888700166,-24.0239508792863,40.2291319573683,-24.1022311943399,29.6416424020547,0.059271318978742,-643.916020859087,676.083979140913,-1.4810068479759,1.5549931520241,0,0,0,0,0.0261333
57.86,0.00693471475096225,-0.0146072913927913,0.000950032872015227,-0.00298961482501229,0.255897191894836,39.9939090512055,-24.0265408500162,40.237584667617,-24.1046789763448,29.6446102834427,0.0594593424791557,-643.916020859087,676.083979140913,-1.4810068479759,1.5549931520241,0,0,0,0,0.0258239
57.87,0.0068061843069501,-0.0140144922663485,0.000948969790859344,0.000979010321276411,0.255884860613014,40.0023306854844,-24.029126053356,40.2460373778657,-24.1071267583497,29.6794436700995,0.0587131458248652,-643.916020859087,676.083979140913,-1.4810068479759,1.5549931520241,0,0,0,0,0.0259818
57.88,0.00668265584007395,-0.0135036988802891,0.00094951243467567,0.00102080584712493,0.255872667252186,40.0107537839215,-24.0317064733108,40.2544900881144,-24.1095745403547,29.701049238339,0.0585219298070544,-643.916020859087,676.083979140913,-1.4810068479759,1.5549931520241,0,0,0,0,0.0253435
57.89,0.00656414698296735,-0.0129949601435267,0.000951051006891523,0.000644173286695714,0.255860593925375,40.0191783614415,-24.0342820958604,40.2629427983631,-24.1120223223596,29.7037231932748,0.0583432882337976,-643.916020859087,676.083979140913,-1.4810068479759,1.5549931520241,0,0,0,0,0.0262108
57.9,0.00709335564811332,-0.0152300580506734,0.00095271280090381,0.00194790754438266,0.25584862853009,40.0276043794206,-24.0368530569563,40.2713955086119,-24.1144701043645,29.7299446489317,0.0595341211262596,-643.804866067709,676.195133932291,-1.48075119195573,1.55524880804427,0,0,0,0,0.0266404
57.91,0.00696027367544057,-0.0147327601168889,0.000955583271908478,-0.00193369778208614,0.255836100272948,40.0360318108545,-24.039419458857,40.2798549182908,-24.1168946321898,29.6927242210488,0.0599534476375513,-643.804866067709,676.195133932291,-1.48075119195573,1.55524880804427,0,0,0,0,0.0267211
57.92,0.00683190438599748,-0.0141572714689011,0.000956737938649144,-0.00268136853533824,0.255823689409698,40.0444606334767,-24.0419813571935,40.2883143279698,-24.1193191600152,29.6541654816949,0.0599173137386489,-643.804866067709,676.195133932291,-1.48075119195573,1.55524880804427,0,0,0,0,0.0265085
57.93,0.0067081981429497,-0.0135674806088453,0.000956115152277559,0.000256521618719821,0.255811407595267,40.0528908136611,-24.044538793934,40.2967737376487,-24.1217436878406,29.6641097085205,0.0592184422773673,-643.804866067709,676.195133932291,-1.48075119195573,1.55524880804427,0,0,0,0,0.0266714
57.94,0.00658926422768438,-0.0130393469498961,0.000955950775825887,0.00445539908431911,0.255799257804433,40.0613223743729,-24.0470916619684,40.3052331473277,-24.1241682156659,29.7183817190937,0.0582968643891465,-643.804866067709,676.195133932291,-1.48075119195573,1.55524880804427,0,0,0,0,0.0271314
57.95,0.0071178438756771,-0.0152725411612428,0.000958288155258114,0.00197948421201618,0.255787221387112,40.0697553483939,-24.0496398950764,40.3136925570066,-24.1265927434913,29.7426721663335,0.0599619190395489,-643.705009253119,676.294990746881,-1.48052152128217,1.55547847871783,0,0,0,0,0.0265841
