sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,rkf_innovation_norm_mps2,rkf_external_accel_variance_max_m2ps4,rkf_covariance_updated,rkf_anomaly_detected,rkf_observer_valid,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,evaluation_sample,rkf_locally_better,mtcn_locally_better,near_tie
131,131.0,1.31,0.0,0.0,0.0,0.0761095249239981,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
132,132.0,1.32,0.0,0.0,0.0,0.0456363957873879,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
133,133.0,1.33,0.0,0.0,0.0,0.0962642995774693,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
134,134.0,1.34,0.0,0.0,0.0,0.0669647051592923,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
135,135.0,1.35,0.0,0.0,0.0,0.0575779485362145,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
136,136.0,1.36,0.0,0.0,0.0,0.0336759611994587,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
137,137.0,1.37,0.0,0.0,0.0,0.0627658436449034,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
138,138.0,1.38,0.0,0.0,0.0,0.0764130137481622,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
139,139.0,1.39,0.0,0.0,0.0,0.0467750682189783,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
140,140.0,1.4,0.0,0.0,0.0,0.029962730115144,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
141,141.0,1.41,0.0,0.0,0.0,0.0580160681969557,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
142,142.0,1.42,0.0,0.0,0.0,0.0628107228385839,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
143,143.0,1.43,0.0,0.0,0.0,0.0273446778469235,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
144,144.0,1.44,0.0,0.0,0.0,0.0356047669502197,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
145,145.0,1.45,0.0,0.0,0.0,0.0276285956342052,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
146,146.0,1.46,0.0,0.0,0.0,0.0397402049283177,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
