t_s,reference_grade_deg,mtcn_delta_grade_deg,rkf_ra_x2_qg_x05_grade_deg,fused_grade_deg,K_eff,Kmax,target_correction_deg,applied_correction_deg,NIS,fallback,rate_limit_active,fallback_reason
1.02,0.0,0.0,0.19584155702449688,0.0,0.0,0.5,0.0,0.0,0.0036247254302446586,1,0,TCN_NOT_READY
1.03,0.0,0.0,0.19560277603524584,0.0,0.0,0.5,0.0,0.0,0.003615891882404754,1,0,TCN_NOT_READY
1.04,0.0,0.0,0.19500608202571154,0.0,0.0,0.5,0.0,0.0,0.003593864688559479,1,0,TCN_NOT_READY
1.05,0.0,0.0,0.19726958790331361,0.0,0.0,0.5,0.0,0.0,0.0036777794583419438,1,0,TCN_NOT_READY
1.06,0.0,0.0,0.19740234602814036,0.0,0.0,0.5,0.0,0.0,0.0036827312545323096,1,0,TCN_NOT_READY
1.07,0.0,0.0,0.19844271894984275,0.0,0.0,0.5,0.0,0.0,0.0037216518685480745,1,0,TCN_NOT_READY
1.08,0.0,0.0,0.19841651471741054,0.0,0.0,0.5,0.0,0.0,0.0037206690500079464,1,0,TCN_NOT_READY
1.09,0.0,0.0,0.19854157611376919,0.0,0.0,0.5,0.0,0.0,0.0037253607835556132,1,0,TCN_NOT_READY
1.1,0.0,0.0,0.19984235646114248,0.0,0.0,0.5,0.0,0.0,0.0037743354164522847,1,0,TCN_NOT_READY
1.11,0.0,0.0,0.19909974700385014,0.0,0.0,0.5,0.0,0.0,0.003746336852490209,1,0,TCN_NOT_READY
1.12,0.0,0.0,0.19723100217589112,0.0,0.0,0.5,0.0,0.0,0.003676340859331289,1,0,TCN_NOT_READY
1.13,0.0,0.0,0.19645341412606654,0.0,0.0,0.5,0.0,0.0,0.003647409875029235,1,0,TCN_NOT_READY
1.14,0.0,0.0,0.19747568185469785,0.0,0.0,0.5,0.0,0.0,0.0036854680640303053,1,0,TCN_NOT_READY
1.15,0.0,0.0,0.19673516041373584,0.0,0.0,0.5,0.0,0.0,0.0036578793402843347,1,0,TCN_NOT_READY
1.16,0.0,0.0,0.1962504229942929,0.0,0.0,0.5,0.0,0.0,0.003639876187245884,1,0,TCN_NOT_READY
1.17,0.0,0.0,0.1959461873484036,0.0,0.0,0.5,0.0,0.0,0.003628599556985928,1,0,TCN_NOT_READY
1.18,0.0,0.0,0.19641406205845438,0.0,0.0,0.5,0.0,0.0,0.003645948778057077,1,0,TCN_NOT_READY
1.19,0.0,0.0,0.19840895304572312,0.0,0.0,0.5,0.0,0.0,0.003720385465330028,1,0,TCN_NOT_READY
1.2,0.0,0.0,0.19891580669062087,0.0,0.0,0.5,0.0,0.0,0.0037394178677362996,1,0,TCN_NOT_READY
1.21,0.0,0.0,0.19974608810518157,0.0,0.0,0.5,0.0,0.0,0.0037706999354131824,1,0,TCN_NOT_READY
1.22,0.0,0.0,0.20019233363425298,0.0,0.0,0.5,0.0,0.0,0.003787566724509076,1,0,TCN_NOT_READY
1.23,0.0,0.0,0.19970393100029954,0.0,0.0,0.5,0.0,0.0,0.003769108464767177,1,0,TCN_NOT_READY
1.24,0.0,0.0,0.19923428457097775,0.0,0.0,0.5,0.0,0.0,0.003751401583560695,1,0,TCN_NOT_READY
1.25,0.0,0.0,0.19913463119589034,0.0,0.0,0.5,0.0,0.0,0.003747649756048033,1,0,TCN_NOT_READY
1.26,0.0,0.0,0.19863310162119277,0.0,0.0,0.5,0.0,0.0,0.0037287962768505533,1,0,TCN_NOT_READY
1.27,0.0,0.0,0.1979381379673183,0.0,0.0,0.5,0.0,0.0,0.003702749816337976,1,0,TCN_NOT_READY
1.28,0.0,0.0,0.1970537572121248,0.0,0.0,0.5,0.0,0.0,0.0036697362170208863,1,0,TCN_NOT_READY
1.29,0.0,0.0,0.19811792920944146,0.0,0.0,0.5,0.0,0.0,0.0037094794374207133,1,0,TCN_NOT_READY
1.3,0.0,0.0,0.19880931059063997,0.0,0.0,0.5,0.0,0.0,0.0037354148996255536,1,0,TCN_NOT_READY
1.31,0.0,0.0,0.19901605254211285,0.0,0.0,0.5,0.0,0.0,0.0037431878606012043,1,0,TCN_NOT_READY
1.32,0.0,0.0,0.19990820218996913,0.0,0.0,0.5,0.0,0.0,0.003776823025321533,1,0,TCN_NOT_READY
1.33,0.0,0.0,0.19983875618413297,0.0,0.0,0.5,0.0,0.0,0.003774199423954368,1,0,TCN_NOT_READY
1.34,0.0,0.0,0.20009833806683064,0.0,0.0,0.5,0.0,0.0,0.0037840108350514173,1,0,TCN_NOT_READY
1.35,0.0,0.0,0.19942368512144826,0.0,0.0,0.5,0.0,0.0,0.0037585374562898424,1,0,TCN_NOT_READY
1.36,0.0,0.0,0.19915879244158188,0.0,0.0,0.5,0.0,0.0,0.0037485592249748598,1,0,TCN_NOT_READY
1.37,0.0,0.0,0.19977721778860832,0.0,0.0,0.5,0.0,0.0,0.0037718753260611014,1,0,TCN_NOT_READY
