metric,panel,metric_label,unit,path_id,path_label,model_seed,moderntcn,fusion,effect_moderntcn_minus_fusion
j_du,c,Input-increment index,,p02_sharp_turn_transition,P2 Sharp-turn transition,7,0.6583107250188149,0.6874479530707479,-0.0291372280519329
j_du,c,Input-increment index,,p03_long_updown,P3 Long up/down,7,1.638324259481383,1.818536833145546,-0.1802125736641631
j_du,c,Input-increment index,,p04_soft_updown_straight_turn,P4 Mild grade and turn,7,0.2992851721205009,0.2992851721205009,0.0
j_du,c,Input-increment index,,p05_factory_flat_logistics,P5 Flat logistics,7,0.1535898711233129,0.1463454744832744,0.0072443966400384
j_du,c,Input-increment index,,p06_downhill_after_turn,P6 Downhill after turn,7,0.5274936860176479,0.5541981070840447,-0.0267044210663968
j_du,c,Input-increment index,,p01_factory_logistics_showcase,P1 Factory logistics,11,0.3157346522686055,0.0882213396462634,0.2275133126223421
j_du,c,Input-increment index,,p02_sharp_turn_transition,P2 Sharp-turn transition,11,0.657514747689079,0.6020664702353737,0.0554482774537052
j_du,c,Input-increment index,,p03_long_updown,P3 Long up/down,11,1.5735410398148495,1.655013603543419,-0.0814725637285693
j_du,c,Input-increment index,,p04_soft_updown_straight_turn,P4 Mild grade and turn,11,0.2996742662823607,0.2996742662823607,0.0
j_du,c,Input-increment index,,p05_factory_flat_logistics,P5 Flat logistics,11,0.0187996930617775,0.0187996930617775,0.0
j_du,c,Input-increment index,,p06_downhill_after_turn,P6 Downhill after turn,11,0.4953903076069647,0.529093581891739,-0.0337032742847743
j_du,c,Input-increment index,,p01_factory_logistics_showcase,P1 Factory logistics,21,0.1326736617433019,0.0870595344132399,0.045614127330062
j_du,c,Input-increment index,,p02_sharp_turn_transition,P2 Sharp-turn transition,21,1.872816493040568,0.7702423261665763,1.1025741668739917
j_du,c,Input-increment index,,p03_long_updown,P3 Long up/down,21,1.838009432778998,1.807422744731336,0.0305866880476619
j_du,c,Input-increment index,,p04_soft_updown_straight_turn,P4 Mild grade and turn,21,0.3006556506312875,0.3006556506312875,0.0
j_du,c,Input-increment index,,p05_factory_flat_logistics,P5 Flat logistics,21,0.0197476316784334,0.0197476316784334,0.0
j_du,c,Input-increment index,,p06_downhill_after_turn,P6 Downhill after turn,21,0.5297716908094144,0.5491233080667928,-0.0193516172573783
j_du,c,Input-increment index,,p01_factory_logistics_showcase,P1 Factory logistics,42,0.1315117300100576,0.1134638795654762,0.0180478504445814
j_du,c,Input-increment index,,p02_sharp_turn_transition,P2 Sharp-turn transition,42,0.7819041232882494,0.7207109721470804,0.061193151141169
j_du,c,Input-increment index,,p03_long_updown,P3 Long up/down,42,1.811315340376164,1.6408836760546193,0.1704316643215446
j_du,c,Input-increment index,,p04_soft_updown_straight_turn,P4 Mild grade and turn,42,0.2992851721205009,0.2992851721205009,0.0
j_du,c,Input-increment index,,p05_factory_flat_logistics,P5 Flat logistics,42,0.0188157485680191,0.0188157485680191,0.0
j_du,c,Input-increment index,,p06_downhill_after_turn,P6 Downhill after turn,42,0.5383493556390094,0.5624390161340947,-0.0240896604950853
j_du,c,Input-increment index,,p01_factory_logistics_showcase,P1 Factory logistics,73,0.1283763272577963,0.118883545110143,0.0094927821476533
j_du,c,Input-increment index,,p02_sharp_turn_transition,P2 Sharp-turn transition,73,0.7450598224798886,0.6376986897602737,0.1073611327196149
j_du,c,Input-increment index,,p03_long_updown,P3 Long up/down,73,1.6671117103610826,1.7456677338311506,-0.0785560234700679
j_du,c,Input-increment index,,p04_soft_updown_straight_turn,P4 Mild grade and turn,73,0.3026016115914401,0.3026016115914401,0.0
j_du,c,Input-increment index,,p05_factory_flat_logistics,P5 Flat logistics,73,0.0342779771585902,0.0486640492227826,-0.0143860720641923
j_du,c,Input-increment index,,p06_downhill_after_turn,P6 Downhill after turn,73,0.5089260682618394,0.508687250853838,0.0002388174080013
j_du,c,Input-increment index,,p01_factory_logistics_showcase,P1 Factory logistics,101,0.2773288476830869,0.3008953301936027,-0.0235664825105157
j_du,c,Input-increment index,,p02_sharp_turn_transition,P2 Sharp-turn transition,101,0.802342190832085,0.7434982324608176,0.0588439583712674
j_du,c,Input-increment index,,p03_long_updown,P3 Long up/down,101,1.970397462957555,1.9175360913360864,0.0528613716214687
j_du,c,Input-increment index,,p04_soft_updown_straight_turn,P4 Mild grade and turn,101,0.3622333521108727,0.3597668554208092,0.0024664966900635
j_du,c,Input-increment index,,p05_factory_flat_logistics,P5 Flat logistics,101,4.046771533658049,4.763857507759233,-0.7170859741011837
j_du,c,Input-increment index,,p06_downhill_after_turn,P6 Downhill after turn,101,0.4854511935968426,0.5447007159865116,-0.059249522389669
j_du,c,Input-increment index,,p01_factory_logistics_showcase,P1 Factory logistics,202,0.1712954193982614,0.087691795254113,0.0836036241441483
j_du,c,Input-increment index,,p02_sharp_turn_transition,P2 Sharp-turn transition,202,1.0966212873611847,0.6687878489413437,0.427833438419841
j_du,c,Input-increment index,,p03_long_updown,P3 Long up/down,202,1.9025890382981567,1.9044925168594984,-0.0019034785613416
j_du,c,Input-increment index,,p04_soft_updown_straight_turn,P4 Mild grade and turn,202,0.2997621714080531,0.2997621714080531,0.0
j_du,c,Input-increment index,,p05_factory_flat_logistics,P5 Flat logistics,202,0.0192011409384252,0.0192011409384252,0.0
j_du,c,Input-increment index,,p06_downhill_after_turn,P6 Downhill after turn,202,0.461678213603611,0.4657667223774325,-0.0040885087738214
j_du,c,Input-increment index,,p01_factory_logistics_showcase,P1 Factory logistics,340,0.1435590100596307,0.1105864053445917,0.032972604715039
j_du,c,Input-increment index,,p02_sharp_turn_transition,P2 Sharp-turn transition,340,0.7458219452327767,0.7554776742519089,-0.0096557290191322
j_du,c,Input-increment index,,p03_long_updown,P3 Long up/down,340,1.8752076040097576,1.891614369829525,-0.016406765819767
j_du,c,Input-increment index,,p04_soft_updown_straight_turn,P4 Mild grade and turn,340,0.302313883167873,0.302313883167873,0.0
j_du,c,Input-increment index,,p05_factory_flat_logistics,P5 Flat logistics,340,0.0208530787901583,0.0208530787901583,0.0
j_du,c,Input-increment index,,p06_downhill_after_turn,P6 Downhill after turn,340,0.5420518441190993,0.5890170283309417,-0.0469651842118423
j_du,c,Input-increment index,,p01_factory_logistics_showcase,P1 Factory logistics,520,13.290857861916573,0.5664951137725854,12.724362748143989
j_du,c,Input-increment index,,p02_sharp_turn_transition,P2 Sharp-turn transition,520,1.066656050910126,0.7520926272858294,0.3145634236242965
j_du,c,Input-increment index,,p03_long_updown,P3 Long up/down,520,2.048923228984987,1.7355384410233212,0.3133847879616656
j_du,c,Input-increment index,,p04_soft_updown_straight_turn,P4 Mild grade and turn,520,0.3008988123740938,0.3008988123740938,0.0
j_du,c,Input-increment index,,p05_factory_flat_logistics,P5 Flat logistics,520,0.0234723849026217,0.0234723849026217,0.0
j_du,c,Input-increment index,,p06_downhill_after_turn,P6 Downhill after turn,520,0.5025766829659726,0.518109543306319,-0.0155328603403464
