path_id,model_seed,moderntcn_ey_rmse,fusion_ey_rmse,effect_moderntcn_minus_fusion_ey_rmse,moderntcn_epsi_rmse,fusion_epsi_rmse,effect_moderntcn_minus_fusion_epsi_rmse,moderntcn_j_du,fusion_j_du,effect_moderntcn_minus_fusion_j_du
p01_factory_logistics_showcase,340,0.012544611782200513,0.012639072894167182,-9.446111196666912e-05,0.013664690785041867,0.013778145184188153,-0.00011345439914628615,0.14355901005963076,0.11058640534459174,0.03297260471503902
p02_sharp_turn_transition,340,0.024475651375676026,0.023345070217320615,0.0011305811583554107,0.025682124632501975,0.02830212825836109,-0.0026200036258591138,0.7458219452327767,0.7554776742519089,-0.009655729019132253
p03_long_updown,340,0.03619643150217971,0.03371211993645244,0.0024843115657272666,0.023183125084202616,0.026276417134437027,-0.0030932920502344113,1.8752076040097578,1.891614369829525,-0.016406765819767077
p04_soft_updown_straight_turn,340,0.003403437192179932,0.003403437192179932,0.0,0.007891470174581335,0.007891470174581335,0.0,0.302313883167873,0.302313883167873,0.0
p05_factory_flat_logistics,340,0.009221234560413672,0.009221234560413672,0.0,0.007754805861190461,0.007754805861190461,0.0,0.020853078790158307,0.020853078790158307,0.0
p06_downhill_after_turn,340,0.01661364369847612,0.01199352928903597,0.004620114409440152,0.012331485693736976,0.006326327212550546,0.006005158481186429,0.5420518441190993,0.5890170283309417,-0.04696518421184237
p01_factory_logistics_showcase,520,0.14207904758460632,0.03161679576257002,0.11046225182203631,0.10628192649866754,0.050182382180106955,0.05609954431856058,13.290857861916573,0.5664951137725854,12.724362748143987
p02_sharp_turn_transition,520,0.048840104811601504,0.031407751785077764,0.01743235302652374,0.04234537558124742,0.04278523817823282,-0.0004398625969853978,1.066656050910126,0.7520926272858294,0.31456342362429657
p03_long_updown,520,0.07769958626765679,0.02104592409001399,0.0566536621776428,0.0340539653785151,0.037756990423875675,-0.003703025045360575,2.048923228984987,1.7355384410233212,0.3133847879616656
p04_soft_updown_straight_turn,520,0.006236364698930231,0.006236364698930231,0.0,0.009365821613388515,0.009365821613388515,0.0,0.3008988123740938,0.3008988123740938,0.0
p05_factory_flat_logistics,520,0.01615255867110593,0.01615255867110593,0.0,0.01037878408499511,0.01037878408499511,0.0,0.023472384902621716,0.023472384902621716,0.0
p06_downhill_after_turn,520,0.01994857300757717,0.012070131343987546,0.007878441663589622,0.025614090050202997,0.01679265230081208,0.008821437749390919,0.5025766829659726,0.518109543306319,-0.0155328603403464
