model_seed,path_id,ey_fusion_rkf,epsi_fusion_rkf,jdu_fusion_rkf,ey_fusion_r2,epsi_fusion_r2,jdu_fusion_r2,ey_fusion_r2_minus_rkf,epsi_fusion_r2_minus_rkf,jdu_fusion_r2_minus_rkf
11,p03_long_updown,0.0559064822943418,0.0233102120604972,1.5536457729786337,0.0530010136277233,0.0259294512981349,1.655013603543419,-0.0029054686666185048,0.0026192392376377,0.10136783056478538
11,p04_soft_updown_straight_turn,0.003421097028164,0.0078427207989677,0.2996742662823607,0.003421097028164,0.0078427207989677,0.2996742662823607,0.0,0.0,0.0
11,p05_factory_flat_logistics,0.004395999447469,0.0079221402787523,0.0187996930617775,0.004395999447469,0.0079221402787523,0.0187996930617775,0.0,0.0,0.0
11,p06_downhill_after_turn,0.0173164747277342,0.0144962421316944,0.50163788379711,0.0145346848829555,0.0117064353098093,0.529093581891739,-0.0027817898447787016,-0.0027898068218851005,0.027455698094629
21,p01_factory_logistics_showcase,0.0162343525432379,0.0123914173147774,0.103047922150376,0.0175216630610338,0.0113914433724058,0.0870595344132399,0.0012873105177958998,-0.0009999739423716004,-0.01598838773713611
21,p02_sharp_turn_transition,0.0490187879758997,0.0273829036891672,1.031890834252646,0.0253592011617074,0.0269875786399801,0.7702423261665763,-0.023659586814192304,-0.00039532504918710076,-0.26164850808606976
21,p03_long_updown,0.0471532380929158,0.0264551377379958,1.8389722765318748,0.0231503159505066,0.028395760160284,1.807422744731336,-0.0240029221424092,0.0019406224222882004,-0.031549531800538766
21,p04_soft_updown_straight_turn,0.0044615225629186,0.0075571225154113,0.3006556506312875,0.0044615225629186,0.0075571225154113,0.3006556506312875,0.0,0.0,0.0
21,p05_factory_flat_logistics,0.0118182658242174,0.008844808660793,0.0197476316784334,0.0118182658242174,0.008844808660793,0.0197476316784334,0.0,0.0,0.0
21,p06_downhill_after_turn,0.0121630663338286,0.005419835418663,0.5171183719439865,0.0091020756379716,0.0028737998780822,0.5491233080667928,-0.003060990695857,-0.0025460355405807996,0.032004936122806305
42,p01_factory_logistics_showcase,0.0171655109067499,0.0108218606242256,0.0997800122744342,0.016599843339488,0.0122752013570725,0.1134638795654762,-0.0005656675672618995,0.0014533407328469004,0.013683867291041998
