sample_index,t_s,theta_true_deg,theta_sched_deg,theta_tcn_deg,theta_imu_deg,theta_fused_deg,K_imu_eff,imu_valid,fallback_exact,delta_fused_vs_mtcn_deg
2760,27.6,5.317917355371899,5.36571256113825,5.488390825206058,5.4039394365143565,5.4630554085985485,0.3,1.0,0.0,-0.025335416607509487
2761,27.61,5.319361854338841,5.368163672755666,5.489989970734794,5.425258098180001,5.470570408968354,0.3,1.0,0.0,-0.019419561766440552
2762,27.62,5.320806353305784,5.370614784373083,5.4916540572560635,5.416445521948597,5.469091496663824,0.3,1.0,0.0,-0.022562560592239045
2763,27.63,5.3222508522727265,5.373065895990499,5.493277146236777,5.409350137234411,5.468099043536071,0.3,1.0,0.0,-0.025178102700706084
2764,27.64,5.323695351239668,5.375517007607922,5.494844049297575,5.3903709643211695,5.4635021238046555,0.3,1.0,0.0,-0.03134192549291992
2765,27.65,5.325139850206611,5.377968119225338,5.496397091824046,5.42844873215073,5.476012583922052,0.3,1.0,0.0,-0.020384507901994198
2766,27.66,5.326557541322314,5.380372730096447,5.497950835736457,5.447190263115998,5.48272266395032,0.3,1.0,0.0,-0.01522817178613689
2767,27.67,5.3279752324380185,5.3827773409675554,5.499560010087154,5.447167214305664,5.483842171352706,0.3,1.0,0.0,-0.015717838734447653
2768,27.68,5.329392923553722,5.385181951838664,5.501136857299522,5.43779644348799,5.482134733156061,0.3,1.0,0.0,-0.019002124143461252
2769,27.69,5.330810614669419,5.387586562709774,5.502674846385994,5.442201229425019,5.4845327612977055,0.3,1.0,0.0,-0.018142085088288518
2770,27.7,5.332228305785123,5.389991173580882,5.50421249392301,5.4440895422638285,5.486175608425257,0.3,1.0,0.0,-0.01803688549775284
2771,27.71,5.333619034090907,5.391581865067562,5.50575029289728,5.4220209034439115,5.4806314760612675,0.3,1.0,0.0,-0.025118816836012137
2772,27.72,5.335009762396695,5.393172556554247,5.50732674086107,5.401778716843153,5.475662333655696,0.3,1.0,0.0,-0.031664407205374445
2773,27.73,5.336400490702479,5.394763248040927,5.508872550821396,5.381270448711029,5.4705919201882836,0.3,1.0,0.0,-0.03828063063311227
2774,27.74,5.3377912190082615,5.3963539395276054,5.510387141259079,5.398278904808038,5.476754670323766,0.3,1.0,0.0,-0.03363247093531285
2775,27.75,5.339181947314051,5.397944631014286,5.5118991291935755,5.344143000153276,5.461572290481486,0.3,1.0,0.0,-0.050326838712089206
2776,27.76,5.340545557851238,5.399771260973634,5.513408488412262,5.32848753008958,5.457932200915457,0.3,1.0,0.0,-0.055476287496804666
2777,27.77,5.3419091683884306,5.401597890932982,5.5149448277559285,5.343176064913961,5.463414198903337,0.3,1.0,0.0,-0.05153062885259185
2778,27.78,5.3432727789256225,5.403424520892331,5.516455954085391,5.350516302207396,5.466674058521989,0.3,1.0,0.0,-0.04978189556340151
2779,27.79,5.34463638946281,5.405251150851686,5.517944649911287,5.384007311386958,5.477763448353985,0.3,1.0,0.0,-0.04018120155730198
2780,27.8,5.346000000000003,5.407077780811034,5.519428452630867,5.388476874478012,5.480142979185009,0.3,1.0,0.0,-0.0392854734458572
2781,27.81,5.347336337809917,5.408851509988255,5.520915920117298,5.396339869997527,5.483543105081364,0.3,1.0,0.0,-0.03737281503593426
2782,27.82,5.348672675619832,5.410625239165482,5.522425028645389,5.38936012835561,5.4825055585584535,0.3,1.0,0.0,-0.03991947008693586
2783,27.83,5.350009013429752,5.412398968342709,5.523911110774233,5.400896800040022,5.487006817553971,0.3,1.0,0.0,-0.03690429322026212
2784,27.84,5.351345351239667,5.41417269751993,5.525388638521954,5.391549510417249,5.485236900090542,0.3,1.0,0.0,-0.04015173843141184
2785,27.85,5.352681689049587,5.415946426697157,5.526870873458087,5.393619941218297,5.486895593786153,0.3,1.0,0.0,-0.039975279671933706
2786,27.86,5.353990599173553,5.416800558720828,5.528363433595221,5.368798722222633,5.480494020183446,0.3,1.0,0.0,-0.04786941341177453
2787,27.87,5.355299509297519,5.4176546907445005,5.529868753741438,5.3070805905374145,5.463032304780232,0.3,1.0,0.0,-0.06683644896120544
2788,27.88,5.356608419421486,5.418508822768173,5.531357600537709,5.2820486898626,5.456564927335179,0.3,1.0,0.0,-0.07479267320253058
2789,27.89,5.357917329545452,5.419362954791845,5.532833066703362,5.268299729592714,5.453473065570166,0.3,1.0,0.0,-0.07936000113319608
2790,27.9,5.359226239669425,5.420217086815517,5.534313072460836,5.267877390132673,5.454382367762388,0.3,1.0,0.0,-0.07993070469844721
2791,27.91,5.360507567148761,5.420910279067499,5.535799413018215,5.247481512230659,5.449304042781952,0.3,1.0,0.0,-0.08649537023626319
2792,27.92,5.361788894628098,5.421603471319487,5.537311479509351,5.246707613013709,5.4501303195606585,0.3,1.0,0.0,-0.08718115994869269
2793,27.93,5.3630702221074396,5.422296663571469,5.538810848483881,5.257880831257364,5.4545318433159276,0.3,1.0,0.0,-0.08427900516795361
