time_s,reference_grade_deg,modern_tcn_delta_deg,modern_tcn_22d_deg,gru_22d_deg,tcn_22d_deg
44.83,-4.94731851852,-5.35256808892,-5.59614666926,-4.6142231839,-4.48947042951
44.84,-4.94731851852,-5.34158965268,-5.58923703073,-4.58141105575,-4.48088768975
44.85,-4.94731851852,-5.32826525907,-5.5829713732,-4.55088562061,-4.47776847226
44.86,-4.91648564815,-5.31619983653,-5.57848099421,-4.52281446699,-4.47703992491
44.87,-4.91648564815,-5.30816620511,-5.57192683636,-4.49116004767,-4.46828330802
44.88,-4.91648564815,-5.29547048918,-5.56526173455,-4.4614496385,-4.46909113672
44.89,-4.91648564815,-5.28553426935,-5.55861177037,-4.43429705137,-4.46196641115
44.9,-4.91648564815,-5.27059847505,-5.55238034553,-4.40968284151,-4.45350913071
44.91,-4.8841,-5.26079484791,-5.54629066597,-4.39058869989,-4.44546373011
44.92,-4.8841,-5.24889135624,-5.53989443108,-4.36842414317,-4.44444706595
44.93,-4.8841,-5.23612763833,-5.53278458524,-4.34793862274,-4.44350352158
44.94,-4.8841,-5.22096458976,-5.5252603577,-4.32931011807,-4.44327400656
44.95,-4.8841,-5.20790796694,-5.51803066574,-4.31268328681,-4.44011683897
44.96,-4.85019768519,-5.19797730795,-5.51105854974,-4.30073975187,-4.43086206789
44.97,-4.85019768519,-5.18582612113,-5.50394921674,-4.28580742816,-4.42903722684
44.98,-4.85019768519,-5.17647037727,-5.49576327388,-4.27224369252,-4.42843834513
44.99,-4.85019768519,-5.16581053846,-5.48780447487,-4.26017266299,-4.42712103704
45,-4.85019768519,-5.15367790035,-5.47990384008,-4.2496679315,-4.42677574621
45.01,-4.81481481481,-5.13911946003,-5.47241917983,-4.24067664098,-4.41741951109
45.02,-4.81481481481,-5.12620210689,-5.46427444412,-4.23185344966,-4.40740518635
45.03,-4.81481481481,-5.11597407784,-5.45490010057,-4.22411462264,-4.40384226794
45.04,-4.81481481481,-5.10514652867,-5.44534529111,-4.21793898905,-4.40423288937
45.05,-4.81481481481,-5.09476288644,-5.43556188425,-4.21301012315,-4.39665425293
45.06,-4.7779875,-5.08497224661,-5.42531443811,-4.20795900945,-4.38698569249
45.07,-4.7779875,-5.07456793602,-5.41393823527,-4.20428384382,-4.3814084421
45.08,-4.7779875,-5.06225933187,-5.40073312843,-4.20151219022,-4.37824181997
45.09,-4.7779875,-5.04942821017,-5.38676504412,-4.1997788778,-4.37193883215
45.1,-4.7779875,-5.03577113727,-5.37270550708,-4.19921559161,-4.37269097642
45.11,-4.73975185185,-5.0230115768,-5.35941712106,-4.19775985906,-4.36962075129
45.12,-4.73975185185,-5.01187951266,-5.34661769386,-4.19696532386,-4.35946324785
45.13,-4.73975185185,-5.00025039142,-5.33377198643,-4.19689271383,-4.35742935718
45.14,-4.73975185185,-4.98662428943,-5.32176485823,-4.19729112249,-4.3530646504
45.15,-4.73975185185,-4.97118698523,-5.31048547833,-4.19816227393,-4.35141794551
