time_s,reference_grade_deg,modern_tcn_delta_deg,qualified_observer_deg,fused_grade_deg,scheduled_grade_deg,effective_gain,correction_deg,innovation_deg,nis,quality_score,p_help,v7_gate,fallback,active
131.12,0.90871630565,0,1.22165342272,0,1.9462105026e-36,0,0,1.22165342272,0.129783001225,0.363491375207,0.851964630596,1,1,0
131.13,0.909058636466,0,1.22353255544,0,1.90094979324e-36,0,0,1.22353255544,0.130260601234,0.290861012859,0.851964630596,1,1,0
131.14,0.909400967281,0,1.22298824375,0,1.85568908387e-36,0,0,1.22298824375,0.13013414576,0.290691407929,0.851964630596,1,1,0
131.15,0.909743298097,0,1.2232007711,0,1.81042837451e-36,0,0,1.2232007711,0.130201299081,0.290670633008,0.851964630596,1,1,0
131.16,0.910085012183,0,1.22331348889,0,1.77019663285e-36,0,0,1.22331348889,0.130257558283,0.290548376792,0.851964630596,1,1,0
131.17,0.910426726269,0,1.22366316105,0,1.7299648912e-36,0,0,1.22366316105,0.130315543543,0.362887606848,0.851964630596,1,1,0
131.18,0.910768440355,0,1.22304998519,0,1.68973314954e-36,0,0,1.22304998519,0.130184175039,0.290377238207,0.851964630596,1,1,0
131.19,0.911110154442,0,1.22296428027,0,1.64950140789e-36,0,0,1.22296428027,0.130137874238,0.290313928144,0.851964630596,1,1,0
131.2,0.911451868528,0,1.2236385075,0,1.60926966623e-36,0,0,1.2236385075,0.13024505671,0.290327302845,0.851964630596,1,1,0
131.21,0.911792962143,0,1.22471854297,0,1.57350811809e-36,0,0,1.22471854297,0.130504109195,0.290219936455,0.851964630596,1,1,0
131.22,0.912134055758,0,1.22550961982,0,1.53774656995e-36,0,0,1.22550961982,0.130579399608,0.290055637826,0.851964630596,1,1,0
131.23,0.912475149373,0,1.22534038223,0,1.50198502182e-36,0,0,1.22534038223,0.130617280517,0.302447355478,0.851964630596,1,1,0
131.24,0.912816242988,0,1.22433487528,0,1.46622347368e-36,0,0,1.22433487528,0.130390572815,0.28991173691,0.851964630596,1,1,0
131.25,0.913157336603,0,1.22442224975,0,1.43046192554e-36,0,0,1.22442224975,0.130442860614,0.28985937175,0.851964630596,1,1,0
131.26,0.913497806004,0,1.22545171933,0,1.39867388275e-36,0,0,1.22545171933,0.130684186338,0.289602625724,0.851964630596,1,1,0
131.27,0.913838275405,0,1.22658760214,0,1.36688583996e-36,0,0,1.22658760214,0.130842888233,0.291194974611,0.851964630596,1,1,0
131.28,0.914178744806,0,1.2262605845,0,1.33509779717e-36,0,0,1.2262605845,0.130788911846,0.401417687688,0.849962806507,1,1,0
131.29,0.914519214207,0,1.22653714737,0,1.30330975438e-36,0,0,1.22653714737,0.130844166205,0.351058461624,0.851964630596,1,1,0
131.3,0.914859683609,0,1.22689727818,0,1.27152171159e-36,0,0,1.22689727818,0.13092575807,0.289343274731,0.851964630596,1,1,0
131.31,0.915199525054,0,1.22778141587,0,1.24326567355e-36,0,0,1.22778141587,0.131168734509,0.332306073436,0.851964630596,1,1,0
131.32,0.915539366499,0,1.22764898808,0,1.21500963552e-36,0,0,1.22764898808,0.131100000122,0.289166810567,0.851964630596,1,1,0
131.33,0.915879207944,0,1.22773162376,0,1.18675359748e-36,0,0,1.22773162376,0.131113420413,0.452600181806,0.851964630596,1,1,0
131.34,0.916219049389,0,1.22826742397,0,1.15849755945e-36,0,0,1.22826742397,0.131290124547,0.462420058783,0.851964630596,1,1,0
131.35,0.916558890835,0,1.22803589989,0,1.13024152141e-36,0,0,1.22803589989,0.131226929769,0.28909413315,0.851964630596,1,1,0
131.36,0.916898100582,0,1.22775420649,0,1.10512504316e-36,0,0,1.22775420649,0.131191722076,0.418743296279,0.851964630596,1,1,0
131.37,0.917237310329,0,1.2263159247,0,1.08000856491e-36,0,0,1.2263159247,0.130816600042,0.325683086473,0.851964630596,1,1,0
131.38,0.917576520075,0,1.22689238782,0,1.05489208665e-36,0,0,1.22689238782,0.130985018303,0.469178835688,0.851964630596,1,1,0
131.39,0.917915729822,0,1.22788334356,0,1.0297756084e-36,0,0,1.22788334356,0.131217331204,0.289188413427,0.851964630596,1,1,0
131.4,0.918254939569,0,1.22744036668,0,1.00465913015e-36,0,0,1.22744036668,0.131108524375,0.289220934126,0.851964630596,1,1,0
131.41,0.918593513876,0,1.22686025381,0,9.82333371697e-37,0,0,1.22686025381,0.131006492849,0.414185809533,0.851964630596,1,1,0
131.42,0.918932088182,0,1.22757687167,0,9.6000761325e-37,0,0,1.22757687167,0.131186351162,0.289020016778,0.851964630596,1,1,0
131.43,0.919270662489,0,1.22739179262,0,9.37681854802e-37,0,0,1.22739179262,0.131169650965,0.372834027149,0.851964630596,1,1,0
131.44,0.919609236795,0,1.22742340795,0,9.15356096354e-37,0,0,1.22742340795,0.131155673688,0.289276531974,0.851964630596,1,1,0
131.45,0.919947811101,0,1.22955584534,0,8.93030337907e-37,0,0,1.22955584534,0.13158234345,0.289429138999,0.851964630596,1,1,0
131.46,0.920285746225,0,1.23016621482,0,8.73185219287e-37,0,0,1.23016621482,0.131778761844,0.338769001076,0.851964630596,1,1,0
131.47,0.920623681348,0,1.23176161571,0,8.53340100667e-37,0,0,1.23176161571,0.132127583418,0.289362551273,0.851964630596,1,1,0
131.48,0.920961616472,0,1.23196410953,0,8.33494982046e-37,0,0,1.23196410953,0.132133108051,0.289459919432,0.851964630596,1,1,0
131.49,0.921299551595,0,1.23422874065,0,8.13649863426e-37,0,0,1.23422874065,0.13259457581,0.28952603549,0.851964630596,1,1,0
131.5,0.921637486719,0,1.23521727872,0,7.93804744806e-37,0,0,1.23521727872,0.1328008148,0.289368520818,0.851964630596,1,1,0
131.51,0.921974778917,0,1.23446615151,0,7.76164639366e-37,0,0,1.23446615151,0.132668062786,0.289272334046,0.851964630596,1,1,0
131.52,0.922312071116,0,1.23452013807,0,7.58524533926e-37,0,0,1.23452013807,0.13269259595,0.289380008566,0.851964630596,1,1,0
131.53,0.922649363314,0,1.23452099504,0,7.40884428486e-37,0,0,1.23452099504,0.132666569467,0.289162429472,0.851964630596,1,1,0
131.54,0.922986655513,0,1.23569699129,0,7.23244323046e-37,0,0,1.23569699129,0.132852790042,0.369127401175,0.851964630596,1,1,0
131.55,0.923323947711,0,1.2350235354,0,7.05604217605e-37,0,0,1.2350235354,0.132736593175,0.288706191629,0.851964630596,1,1,0
131.56,0.923660593242,0,1.2349334968,0,6.89924123881e-37,0,0,1.2349334968,0.132771098016,0.317332421749,0.851964630596,1,1,0
131.57,0.923997238773,0,1.23576481182,0,6.74244030156e-37,0,0,1.23576481182,0.132883213275,0.288731965252,0.851964630596,1,1,0
131.58,0.924333884304,0,1.23644870079,0,6.58563936432e-37,0,0,1.23644870079,0.133083830608,0.288553824992,0.851964630596,1,1,0
131.59,0.924670529835,0,1.23844786884,0,6.42883842707e-37,0,0,1.23844786884,0.133468014429,0.288661417604,0.851964630596,1,1,0
131.6,0.925007175366,0,1.23894598269,0,6.27203748983e-37,0,0,1.23894598269,0.133613843014,0.353732624198,0.851964630596,1,1,0
131.61,0.925343170487,0,1.24066584733,0,6.13265887894e-37,0,0,1.24066584733,0.13401355368,0.288637536072,0.851964630596,1,1,0
131.62,0.925679165608,0,1.24137777069,0,5.99328026806e-37,0,0,1.24137777069,0.134133384321,0.28862193595,0.851964630596,1,1,0
131.63,0.92601516073,0,1.24271469022,0,5.85390165717e-37,0,0,1.24271469022,0.134404506787,0.288322048607,0.851964630596,1,1,0
131.64,0.926351155851,0,1.24315889206,0,5.71452304629e-37,0,0,1.24315889206,0.134486203185,0.288297989153,0.851964630596,1,1,0
131.65,0.926687150972,0,1.24294212635,0,5.5751444354e-37,0,0,1.24294212635,0.1344808936,0.420473319513,0.851964630596,1,1,0
131.66,0.927022491942,0,1.24330585302,0,5.45125233684e-37,0,0,1.24330585302,0.134545875806,0.39193894226,0.851964630596,1,1,0
131.67,0.927357832911,0,1.24393988863,0,5.32736023827e-37,0,0,1.24393988863,0.134668456064,0.287974985407,0.851964630596,1,1,0
131.68,0.92769317388,0,1.24546246761,0,5.20346813971e-37,0,0,1.24546246761,0.134976309838,0.287768879525,0.841845209126,1,1,0
131.69,0.928028514849,0,1.24399389315,0,5.07957604114e-37,0,0,1.24399389315,0.134620762367,0.287898041599,0.851964630596,1,1,0
131.7,0.928363855819,0,1.24248020414,0,4.95568394258e-37,0,0,1.24248020414,0.134258643191,0.439886978027,0.851964630596,1,1,0
131.71,0.928698538894,0,1.24261737289,0,4.84555763274e-37,0,0,1.24261737289,0.134387329043,0.288039640051,0.851964630596,1,1,0
131.72,0.929033221969,0,1.24212505205,0,4.73543132291e-37,0,0,1.24212505205,0.134218241539,0.288011902408,0.851964630596,1,1,0
131.73,0.929367905044,0,1.24190008314,0,4.62530501307e-37,0,0,1.24190008314,0.134185444218,0.411844908333,0.851964630596,1,1,0
131.74,0.929702588118,0,1.24167730803,0,4.51517870324e-37,0,0,1.24167730803,0.134139925409,0.319211289612,0.851964630596,1,1,0
131.75,0.930037271193,0,1.24285031314,0,4.4050523934e-37,0,0,1.24285031314,0.134385844835,0.479517722966,0.851964630596,1,1,0
131.76,0.930371292632,0,1.24390076342,0,4.30716234022e-37,0,0,1.24390076342,0.134649590164,0.325397957074,0.851964630596,1,1,0
131.77,0.93070531407,0,1.24366477429,0,4.20927228703e-37,0,0,1.24366477429,0.134642536699,0.288020908801,0.851964630596,1,1,0
131.78,0.931039335509,0,1.24589450783,0,4.11138223384e-37,0,0,1.24589450783,0.135145492811,0.302209285935,0.851964630596,1,1,0
131.79,0.931373356947,0,1.24553118153,0,4.01349218066e-37,0,0,1.24553118153,0.13502241957,0.288049476152,0.851964630596,1,1,0
131.8,0.931707378385,0,1.24643043206,0,3.91560212747e-37,0,0,1.24643043206,0.135195085179,0.419412692152,0.851964630596,1,1,0
131.81,0.932040734445,0,1.24702867904,0,3.82858874686e-37,0,0,1.24702867904,0.135420794107,0.288524422774,0.851964630596,1,1,0
131.82,0.932374090505,0,1.24921746336,0,3.74157536625e-37,0,0,1.24921746336,0.135904856828,0.288786077899,0.851964630596,1,1,0
131.83,0.932707446564,0,1.24954425413,0,3.65456198564e-37,0,0,1.24954425413,0.135964781529,0.288788921241,0.851964630596,1,1,0
